Year,State,Data Status,Rev_Thousand Dollars,Sales_Megawatthours,Customers_Count,Price_Cents/kWh
2017,NC,Final,6138404,56133960,4488036,10.94
2017,ND,Final,498902,4848305,380100,10.29
2017,NE,Final,1060436,9667990,841959,10.97
2017,NH,Final,852981,4441497,618355,19.2
2017,NJ,Final,4344094,27761879,3536088,15.65
2017,NM,Final,836772,6497207,880867,12.88
2017,NV,Final,1550498,12936791,1263100,11.99
2017,NY,Final,8849146,49080757,7144413,18.03
2017,OH,Final,6287043,49795540,4936469,12.63
2017,OK,Final,2316983,21837596,1751033,10.61
2017,OR,Final,2138505,20065930,1725884,10.66
2017,PA,Final,7359033,51724498,5356690,14.23
2017,RI,Final,554752,3028267,437124,18.32
2017,SC,Final,3804261,29224971,2251556,13.02
2017,SD,Final,547554,4652890,396561,11.77
2017,TN,Final,4213506,39292528,2847691,10.72
2017,TX,Final,15886368,144242131,10809488,11.01
2017,UT,Final,1041820,9510783,1063289,10.95
2017,VA,Final,5078889,43982440,3398529,11.55
2017,VT,Final,357641,2023424,313669,17.68
2017,WA,Final,3600615,37282901,3037672,9.66
2017,WI,Final,3045972,21233154,2681338,14.35
2017,WV,Final,1229699,10573463,858961,11.63
2017,WY,Final,315284,2772371,270575,11.37
2017,US,Final,177661168,1378647742,132579661,12.89
2016,AK,Final,407365,2006392,283258,20.3
2016,AL,Final,3843395,32055546,2200574,11.99
2016,AR,Final,1764930,17784233,1368867,9.92
2016,AZ,Final,4094426,33690783,2725508,12.15
2016,CA,Final,15359795,88311069,13445133,17.39
2016,CO,Final,2273979,18833722,2260068,12.07
2016,CT,Final,2536772,12676983,1486740,20.01
2016,DC,Final,307506,2501892,259392,12.29
2016,DE,Final,639086,4763106,419233,13.42
2016,FL,Final,13545273,123320547,9149213,10.98
2016,GA,Final,6659243,57889379,4240421,11.5
2016,HI,Final,717390,2611727,430942,27.47
2016,IA,Final,1682433,14093678,1358898,11.94
2016,ID,Final,813497,8172022,714364,9.95
2016,IL,Final,5764945,45990052,5231540,12.54
2016,IN,Final,3892459,33025955,2821547,11.79
2016,KS,Final,1764173,13509235,1252839,13.06
2016,KY,Final,2763077,26338437,1957189,10.49
2016,LA,Final,2861963,30650067,2059701,9.34
2016,MA,Final,3741859,19692896,2740862,19.0
2016,MD,Final,3886430,27316871,2288301,14.23
2016,ME,Final,725746,4585825,699321,15.83
2016,MI,Final,5258083,34543262,4311007,15.22
2016,MN,Final,2762790,21803791,2378679,12.67
2016,MO,Final,3850746,34354932,2751460,11.21
2016,MS,Final,1931958,18458928,1278616,10.47
2016,MT,Final,530661,4852547,497171,10.94
2016,NC,Final,6446114,58456809,4423529,11.03
2016,ND,Final,481747,4741298,377738,10.16
2016,NE,Final,1055594,9738351,834032,10.84
2016,NH,Final,815783,4438407,612717,18.38
2016,NJ,Final,4573774,29090726,3510140,15.72
2016,NM,Final,799336,6642511,876920,12.03
2016,NV,Final,1447619,12691942,1143668,11.41
2016,NY,Final,8933623,50831287,7118903,17.58
2016,OH,Final,6551231,52524141,4911597,12.47
2016,OK,Final,2323581,22789715,1736820,10.2
2016,OR,Final,1980615,18573242,1706621,10.66
2016,PA,Final,7470000,53877130,5335555,13.86
2016,RI,Final,573661,3081562,438506,18.62
2016,SC,Final,3873817,30615596,2209780,12.65
2016,SD,Final,529582,4618724,392184,11.47
2016,TN,Final,4349574,41773888,2812289,10.41
2016,TX,Final,16048318,145973181,10521731,10.99
